first	internal	last	penultimate	second
-2.2557079911776743	-2.328188528054807	-1.2691818238399344	0.4571950200700044	2.3697875121388674
-2.921160663893348	1.4503904383977515	-7.857363538385482	-7.563599671879273	-2.299766269024795
-5.004628657977635	2.319343356732758	-8.342830513557969	-7.400884254891668	-7.04639461936946
2.637932457727485	1.340009581065727	-1.58337640836713	-3.477205008824923	-2.088997241757236
-4.625631525698963	0.5411083892422166	-7.6130370571992865	1.4337980639177788	-1.169614855348032
-0.7781006524189247	0.6788831929198272	-7.117326590785355	-7.642812056495775	-1.9056179786945904
-4.147319700406587	-0.7992144419626963	0.6237170609501532	3.140256770336321	-3.811770259198266
2.645987495050222	-1.6347016405539894	-6.426675115527803	-6.8423680489973435	-2.878724605705822
-3.9698498417281223	-2.0136079974001637	-4.67337797942058	-6.613958107345486	-6.217129846509774
-3.803088838640083	-3.641020476001332	-7.385320380956938	-6.67756896542274	-2.9349626807339377
-3.6884559641890675	-3.712647806410959	-6.153501709579361	-5.537970303677039	-3.9746184795636585
-1.64011005054183	-4.479208267700656	-6.419655350557836	-4.567929994429927	-4.027470260274616
-4.793056766649242	-4.954941799221348	-4.1243495101302745	-6.347945127626724	-7.758250590124851
-6.496731874807398	-3.0972209753888458	-4.703189516953087	-5.84989373883908	-6.601758218981922
-3.5672988048089525	-7.619570556881709	-4.63271124860279	-0.7657856528475389	-5.180547623856562
-3.8927095792909325	-7.002151103079298	-5.889909417686959	-6.931241041469355	-8.280346420517999
-7.253697003512638	-3.909070711522329	-4.366841497567804	-7.079563878143788	-7.539476585258411
-1.5838780017709249	-4.261930531762505	-7.229406708541859	-2.6278234894835806	0.1281746014675187
-6.050033947675407	-4.555534776179171	-5.246337962430137	-3.4289884634233156	3.2212831808279745
-8.862582096183639	-2.3373022902781884	-2.1603434908993546	0.1047660493162912	-2.259854750003376
3.0125007383080957	-3.111850995984154	0.6408800161307594	2.395841534918972	-2.7326439882161124
-3.5519448322828127	-7.047115645495126	-8.144482244772558	-5.713149125474581	-8.497352152292663
-6.219772559040374	-4.218273353492808	-3.049427073565296	-1.434894203966959	1.9848991821024384
-3.7601454522103097	-4.159349373977843	-5.284205711089461	-2.6028498205194377	-4.155677986076997
-3.3491619296328774	-6.812995677316236	-6.8510774500921645	-6.821339760048433	-5.233238296638426
-2.1332676477890895	-3.6004574361039885	-4.514358845487606	-5.765491812397414	-3.2100020547443786
-2.37403007832447	-4.36536584415825	-4.653772653602248	-7.00679688328513	-2.0342548648417256
-8.33722063610799	-2.6897995017929994	-5.026821065136433	-1.2997875797206666	-6.579207829671005
-2.933088320276849	-0.4423223014262994	-7.789726456012566	-4.639146273514063	-1.00516832394692
-2.7874480918741886	-0.8738226949304493	-7.097745534476658	-6.806366610596359	-2.864859183605185
-4.620419846498009	-0.19316454166619734	-7.808970259498427	-6.622276969585303	-6.243930442498622
-4.369567687929385	-1.1489670127755418	-3.3807436400759268	-1.8466979118415376	-2.482298994950512
-4.339257537565817	1.0887047216114318	-6.980079851300791	-5.723494282183864	-4.06284727677887
-2.0527153710146098	-2.29755167364003	2.59530552696349	-1.6598547913571544	-1.8641814784450534
-1.2942219889948168	-7.142540363687539	-7.256151766314141	-7.1736889935020125	-0.8966165047338277
-2.644316122124621	-5.375841071118205	-0.7604846411164005	-5.150500908147182	-2.7301529482119737
-3.768614780986117	-2.185671073376218	-5.803429212571217	-7.373894270683294	-3.498609162048068
-1.3188116353201724	-2.4803091537790385	-4.232676741939886	-8.679695654246895	-1.5915707283856027
-4.227437970908295	-3.128925994102101	-7.4270648643674715	2.5183488103131837	-7.098028144408441
-2.3423490202916093	-4.155603419357079	-7.130953759230467	-2.9817076697234333	-5.4975724410282325
-2.7166234146490202	-4.683722625031927	1.5272905774855925	-6.903581388895191	-2.413837676062099
-2.501140520160208	-7.423895314824302	-7.882693486862124	-7.4327343182435754	-2.6992507061827293
-2.993757997206303	-7.724920461876337	-6.613590746917055	2.5439832983749757	-3.181607510243798
-1.9460768111402333	-6.9867869736657635	-5.224543832649965	-4.231204716047983	2.77380648432652
-2.262385915913023	-4.037354738924327	-6.812137815884903	-3.6580752627037465	-2.0086125774156964
-1.091888054999299	2.0590575699019573	-6.734063120330881	-2.4373770598060522	-2.588868831854769
-2.57132159005177	2.123974035657098	-2.7139799960456963	-5.02998511913005	-2.711908442311298
-1.833392520216677	1.1276861005453023	-5.060568186697509	-7.99683093906749	-4.737546636360352
-2.0817359036371053	2.0521550168337304	-2.606763941712446	-3.746187860410657	-2.7205168181425745
-4.978258763398016	2.225358231070486	-4.16249007559495	-4.988692152738321	-8.064054291033775
