conditionA	skater_optimize_v0_5_MS023rep1_database_sorted	skater_optimize_v0_5_MS023rep2_database_sorted
F0F1T0C0J0_0J1_0	F0T0C0J0_0	F0T0F1T1C0J0_0J0_1J1_1	F0T0T1C0J0_0J0_1
-3.6318740096605717	-2.1192646423858865	-3.2686825766472936	0.11917753078217647
-2.4623639890153695	-0.5265973041701674	-2.83063936298992	-3.9099107907061206
-1.5868955638556879	-3.2647216371043517	-7.131545348691573	-1.8146180279319981
-2.592061261124901	0.3982239374333472	-7.9253757551249935	-6.935434079603466
-2.839234671118209	-0.43836885836276973	-3.0235513082613714	-6.089375390793237
-2.556912812248187	-0.21437328769021763	-3.687007759715149	-5.6491099407361824
-5.077084865139697	-1.747196105743379	-4.5773947889495075	-5.125164956108971
-5.060746336726063	1.4404047734132015	-3.8649317011500384	-3.4595766889171893
-2.834862678746209	-3.2245025683795827	-4.4840139089652755	-4.069362263864645
-1.458636822472401	-2.888487869396211	-3.7561135563582804	-6.314623498281624
-2.785281821798484	-2.253350142433714	-2.8838918635506587	-5.186709510103823
-3.143245319222106	-3.5116791458193384	-3.2029033275210046	-2.6735684993981725
-2.599580113930554	-3.405161794008619	-5.484267366398164	-3.0461700875991053
-5.992526609181781	-4.29934722263224	-2.6947695423329465	2.828251768221291
-3.2552953476689526	-4.653554773206018	-3.12040338086251	-4.901520072922324
-2.6253955980996437	-3.102929996790744	-4.624212980517123	-3.998965093318781
-2.487601163588409	-7.582269369139611	-6.593397678052222	-7.678212996044971
-2.999851121553776	-2.1178030324351327	-2.094556672304104	-8.50730778392574
-3.177651304147946	-8.007988522947313	-4.276237706368064	-2.8337730333691313
-4.961840302853134	-7.8321648670781885	-2.2651403147834066	0.8513191716717352
-1.5519518120587275	-3.628239982573248	-5.902773254064129	-5.732990391680213
-1.9899707010580787	-3.666015785088214	-4.8463015245718255	-2.2239431898791158
-1.990526695983289	-4.028623537054084	-4.38493481380828	-4.766932448287058
-5.935637605556604	-3.2785485905550447	-2.792307016061115	-2.5065535097116878
-3.228949440658668	-4.982528425621833	-2.8433802327608273	-8.732739883396505
-2.364477758540246	-2.4974779343443663	-1.9047101678922758	-3.506135458407433
-3.7358705234410796	-3.233321734645767	-0.5567328461235256	-3.901825179430599
2.2801338026068687	-6.160921192758864	-1.4121569105008798	-3.665404266481775
-2.9830986698390034	-4.223092201938797	-5.572814361704935	-3.1236470609622407
-1.4274828132031165	-3.871217775826223	-6.449600791022898	-2.294211374634265
-1.9996278326869696	-4.926125377102496	-4.81979305704174	-6.181552534027109
-1.2551517423479635	-3.52021813243848	-4.538074204036983	-7.294387866214903
-1.9125697470527594	-4.107087094623753	-4.3322063128360675	-3.7135645009462244
-6.0091760369975535	-2.704300481884376	-4.693804033592407	-3.4660762971206354
-2.464245061977364	-0.7967725276620722	-4.939019629312065	-4.939972987189468
1.5745537481393153	0.7975173139824248	-3.43837921966027	-4.0699606226276925
2.390321000935033	-1.1600790998235757	-2.5881919787360452	-5.770304392860399
-1.9653729497989003	-1.472186982871031	-3.614248706250403	1.5419541230234373
-1.822574561674199	-0.6843329178678293	-7.212841991272191	-8.3062158784866
-2.7139468656225247	-1.3528255065981885	-6.58172204089432	-5.896580944415975
-2.6892043389137514	0.5540037969653556	-2.2910764820140965	-4.383365121379538
-4.650570946276446	-5.261202215971324	-9.056084133012348	-3.6863519913417506
-4.026192141977257	-4.400016529951916	-8.518175996480856	-2.68356227187425
-5.135067542274104	-2.3405174487944533	-1.2761479056153269	-2.781618069237019
-2.6412841748488733	2.1105095769364715	-1.9878575833867473	-2.60449403753019
-5.909738399087167	-4.451084430736061	-3.473134719964475	-2.9877374176906657
-6.059937616065613	-4.24988679683999	-3.803895594816941	1.7524574544285858
-1.7977866681693677	-3.8928906636128917	-5.6542902514585105	-4.93494061527237
-5.676167420268824	-5.482541830638238	-3.7989664248355073	-6.488378944994638
-3.9456065905753857	-7.955860293051817	-4.875565983008768	1.202604217624709
-4.382715060122712	-7.486558898124432	-2.737995083857033	-3.9986537282517385
-0.7848532331411002	-6.868771926084278	-1.303958097856883	-6.8927704382313655
-4.404233603875863	-7.548917526241155	2.2040491208964275	-3.1716381365147917
-2.7359608665605473	-4.077149394144121	-3.588305633164238	-3.653033809344496
-0.07371890375395666	-3.684808490126741	-7.203993730955818	-2.495288091518562
-3.6334710877190273	-2.9960869517862467	-4.315469201952936	-2.5905275963249337
2.3565452856931004	-3.1524520017360156	-1.3021532470273616	-3.3159410874351254
-2.3179949037921026	-4.004265134200671	-3.1845229400619215	-6.063011240221563
-4.165440867718566	-3.236054790811462	-3.636003191784217	-6.142593873175524
-5.754507257864687	-2.510111845312475	-3.101119591373564	-3.7055120513258943
