conditionA	skater_optimize_v0_5_DMSOrep1_database_sorted	skater_optimize_v0_5_DMSOrep2_database_sorted
F0F1T0C0J0_0J1_0	F0T0C0J0_0	F0T0F1T1C0J0_0J0_1J1_1	F0T0T1C0J0_0J0_1
2.62875959970895	-4.407294997174026	-3.764978838810724	-1.7561847073504058
-2.986253338443748	-2.0195329991691624	-1.5996456978343772	-0.13332777689488298
-2.7512975878065076	-2.049427849914356	-3.501435399566735	-6.636381507240209
1.7561202124631976	-2.049652829585851	-2.4402164957607395	-3.238211615961507
0.3777839885601759	-1.2359370438731183	-2.207524419949506	-7.314639574950938
-3.3258749315762217	0.982714360525989	-1.7286747303698284	-4.6642922965935565
-3.813723597275573	-1.1111792250664692	0.24172598347971355	-5.1133464115404985
-1.3994219461939117	-1.4912853722974126	0.5427191431422088	-6.149908667112822
-1.584496585464213	-0.737531963126936	-1.0915636636767225	-1.9751753949805926
-3.8776585924738805	-2.1340780190423936	-1.5588798958546102	-1.6405507974489504
-3.5164259580783432	0.8558382462334128	-1.097733430916929	1.4501370172274994
-4.115768767455129	-2.774469875136358	-4.078919588026417	-2.431177913663826
-1.9135450210374578	-3.1380763874021285	-1.1751018316660307	-9.096777570432886
-2.91020032486695	-2.527998927761154	-0.015835774154901103	-2.068864628121942
-0.890976498877393	-1.9443267663979638	1.7719658433565604	-2.461422106933328
-2.552638321663283	-2.435448181891214	1.0830601535605295	-1.9200464617802202
-5.499901541921261	-2.9270545586540955	-1.7624338343645682	-0.9380151018675253
-5.060681333490967	-2.257307324522621	-0.539826764450128	-0.8870543798024816
-1.6045883627941748	-3.2067096979773564	0.9309477191912306	-3.5884019427793423
-2.2577098498372483	-1.921166127788383	-3.985346485645407	0.8444057405129743
-2.110158918832527	-3.245995740260921	-3.530820023272007	-5.603465195933791
-0.9622213988352847	-6.856708781812136	-4.314432601527464	-1.1511841957146969
-3.175168616730788	-6.645551630943087	-2.2931503327553764	-2.1613466830160664
-3.8955065982064645	-6.531703217387655	-2.082230668643413	1.8683918359863878
-1.0816305589269997	-6.4758130482890905	-1.198367836791374	2.07059647372233
-0.2517294214377421	-6.099212546050684	0.7176621673870089	-1.8844047083716882
-3.0084471348972084	-4.340583944239532	-0.8008208074598646	-5.9254397614468175
-2.475373401753266	-4.608848195967499	-1.9220980245666277	-0.7277784913392515
-2.7780066420793172	-6.664476864157123	-1.3376814594764763	-2.9563475290539967
-3.0388674566949745	-3.0037558918843352	-1.6942488903748678	-2.8391365916319233
-2.7781174759680205	-6.509385511213847	-2.0975481850203095	1.0122003548948104
-1.718409752091716	-7.284409236277666	-2.7754805539313234	-5.2414778125421835
-4.402624628567361	-6.7879342449292155	-1.4007279161757047	-3.6808306657267305
-4.534739722253669	-5.959257350960723	-1.3985792143553542	-3.4570965597876824
-3.5348241609091793	-7.060959182627695	-0.9120891442132646	-2.7226960083908143
