"","A1_Aligned.sortedByCoord.PEonly_marked","B1_Aligned.sortedByCoord.PEonly_marked","C1_Aligned.sortedByCoord.PEonly_marked","A4_Aligned.sortedByCoord.PEonly_marked","B4_Aligned.sortedByCoord.PEonly_marked","C4_Aligned.sortedByCoord.PEonly_marked"
"ECHDC2878",40,44,26,43,34,45
"PFDN53607",1297,1668,1069,1849,1247,1802
"CNOT33663",399,483,358,389,341,330
"DGKA2079",71,101,62,92,80,78
"DGKA2083",61,78,56,67,109,57
"MYL62263",10848,12075,8719,11850,9729,13419
"SMARCC25531",573,540,545,501,609,545
"BAZ2A3913",296,369,255,337,287,324
"OS93632",982,1258,942,1116,1060,1206
"ZWINT370",1001,997,795,979,795,995
"DAK2148",173,305,173,277,228,316
"DAK2149",171,247,186,294,209,330
"FADS33673",402,464,411,431,416,481
"DCAF75536",457,498,397,479,435,429
"EML34469",177,175,236,199,206,181
"EML34470",84,113,75,115,105,133
"TCEA2139",74,100,101,117,105,118
"VPS512435",645,616,521,636,564,598
"MUS813834",199,234,200,184,197,202
"MUS813837",182,215,158,171,150,186
"FIBP1282",646,542,481,607,589,560
"AMZ24517",1561,1248,1436,1195,1713,1076
"ADRBK13917",289,358,261,332,367,372
"UNC93B15036",679,691,593,778,677,699
"TCIRG12822",485,629,471,538,495,655
"TSNAXIP1347",5,4,1,4,3,5
"CENPT5782",518,580,548,486,489,561
"COPS55163",397,482,403,544,462,506
"SLC7A61718",1928,1790,1660,1717,1885,1579
"NONO3897",2583,3061,2219,3239,2322,3253
"NADSYN14653",355,300,319,319,308,337
"GRSF14009",1061,1041,1000,980,1070,959
"ARAP11288",120,224,128,180,171,216
"RAB373146",62,66,42,53,48,59
"HID12531",65,74,59,76,55,91
"GGA31973",187,230,170,150,176,169
"FBF13185",93,123,91,127,73,133
"PPME11499",595,532,606,476,765,516
"COQ61762",203,225,188,213,239,250
"DCTN14486",1003,1148,772,1167,861,1173
"MOGS4842",205,288,178,293,165,334
"TTC311034",166,199,144,150,144,153
"HTRA2938",261,301,266,223,250,295
"CLK33990",192,198,174,193,153,183
"NSUN5P12628",178,225,224,199,221,247
"RPS6KL14422",10,15,2,16,5,13
"ZSWIM8275",135,193,161,156,154,178
"ZSWIM8277",235,223,234,202,195,216
"TMEM120A159",253,356,273,303,282,298
"COMMD43123",434,393,324,375,360,396
"COMMD43126",1157,1365,1109,1531,1161,1453
"MAN2C14818",170,278,209,242,221,290
"GPATCH2L3903",86,91,76,76,68,82
"CANT1842",1326,1542,1222,1438,1166,1535
"COMTD14660",403,504,372,454,400,462
"ARL165715",451,440,411,471,491,428
"SIRT72944",351,466,295,396,323,403
"DCXR4444",772,594,746,764,842,657
"DCXR4448",300,372,268,499,297,514
"DUS1L5368",838,940,740,1013,897,957
"CCDC572107",32,56,21,45,21,42
"CSNK1D5566",1103,1139,1106,923,939,884
"NARF4867",351,361,305,325,362,380
"ZNF7111334",18,13,6,16,9,18
"WDR733298",484,489,429,403,420,403
"WDR733301",197,207,150,126,126,164
"CREBZF1692",1176,1531,1193,1172,1145,1416
"USP39318",931,895,804,823,963,846
"COX7C5639",4133,4356,3827,4739,4959,4630
"PTCD333",507,382,473,354,557,373
"SNHG51317",3448,3403,2709,4042,3428,3592
"CPNE35046",385,376,372,322,468,303
"MAP3K72880",203,220,180,151,202,147
"CYP3A54136",6,9,5,13,5,4
"ZKSCAN14011",82,98,79,78,75,70
"SYNM526",4177,4161,3427,3897,3739,3525
"PILRB32",208,328,252,260,221,326
"NPAS22639",770,617,773,638,721,529
"LRWD13347",229,240,146,307,196,335
"MOK513",107,86,112,76,102,90
"XPNPEP11863",290,299,255,268,275,240
"ST7L2697",82,65,96,80,79,91
"MOV102464",220,236,247,231,235,210
"TPCN15059",177,223,177,184,180,195
"LAMP11366",1151,1143,947,1189,1126,1321
"RNF214529",168,160,161,102,160,118
"RFC50",57,44,32,44,80,33
"CCDC844792",83,86,89,94,92,85
"HMBS190",403,415,350,386,339,457
"EXOSC91811",423,353,396,305,367,354
"ARL6IP44611",2753,2395,2198,2640,2466,2583
"ERCC34230",508,493,488,399,577,437
"SPTAN11833",636,625,488,564,697,580
"CCDC74A1704",185,196,180,165,162,160
"FBRSL15603",172,235,159,241,186,205
"PHF61417",1490,1683,1441,1355,1883,1400
"PHF20L12749",423,329,358,287,360,258
"ADAM83128",7,14,12,5,10,13
"MTG13650",431,469,418,450,464,492
"TGFBI4080",8281,7742,7918,7138,8621,7215
"RBMX2657",1945,1771,1873,1416,2026,1500
"GBGT14277",14,7,9,5,10,16
"PHPT12331",2215,2353,1898,2810,2078,2955
"MAMDC44226",67,87,61,95,93,140
"FBXW53027",1473,1399,1178,1436,1252,1256
"C9orf1422341",328,461,325,462,359,486
"CLIC3647",62,46,48,55,46,50
"HARS22586",223,205,184,166,190,187
"NSMF3773",477,436,345,377,397,381
"PNPLA71776",8,5,18,4,9,13
"PCDHA134654",558,511,480,476,598,524
"ARRDC12252",334,313,255,347,298,318
"EEF1D3308",5352,5061,4772,5624,5328,5580
"TSTA33352",279,290,272,354,266,324
"TSTA33353",312,322,259,405,289,363
"NRBP24685",95,126,128,110,154,100
"PPP1R16A4906",334,321,268,333,277,351
"PLSCR11981",426,396,377,415,450,429
"TCOF15769",847,740,717,739,791,702
"PSMB44721",2750,2374,2271,2590,2661,2561
"IDH3G2972",364,375,354,334,345,405
"CHTOP1676",936,997,862,948,891,887
